option_code,trade_date,close,volume,amount,open_interest
90006481.SZ,2025-12-12,0.24,13.0,3.031077,607.0
90006483.SZ,2025-12-12,0.1589,91.0,14.504271,741.0
90006484.SZ,2025-12-12,0.0953,216.0,20.260007,1055.0
90006485.SZ,2025-12-12,0.0574,66.0,3.760164,472.0
90006487.SZ,2025-12-12,0.1196,238.0,30.750696,814.0
90006488.SZ,2025-12-12,0.1592,13.0,2.175382,185.0
90006489.SZ,2025-12-12,0.1924,40.0,8.090926,866.0
90006490.SZ,2025-12-12,0.2428,132.0,33.807764,602.0
90006491.SZ,2025-12-12,0.2989,254.0,78.144798,685.0
90006492.SZ,2025-12-12,0.3568,81.0,30.19685,643.0
90006493.SZ,2025-12-12,0.5373,2.0,1.091041,353.0
90006494.SZ,2025-12-12,0.7388,10.0,7.501036,229.0
90006513.SZ,2025-12-12,0.0343,131.0,4.412189,829.0
90006514.SZ,2025-12-12,0.9718,6.0,5.920011,156.0
90006523.SZ,2025-12-12,0.0212,5.0,0.106607,856.0
90006524.SZ,2025-12-12,1.1988,23.0,28.338444,225.0
90006625.SZ,2025-12-12,0.5573,14.0,7.609064,58.0
90006626.SZ,2025-12-12,0.0738,41.0,3.092502,238.0
90006671.SZ,2025-12-12,0.4152,19.0,7.861062,63.0
90006672.SZ,2025-12-12,0.3259,12.0,3.912154,496.0
90006673.SZ,2025-12-12,0.257,220.0,51.382505,1439.0
90006674.SZ,2025-12-12,0.1794,409.0,70.975663,1301.0
90006675.SZ,2025-12-12,0.1146,384.0,40.765412,1061.0
90006676.SZ,2025-12-12,0.0692,200.0,13.926058,940.0
90006677.SZ,2025-12-12,0.0393,791.0,29.462077,2053.0
90006678.SZ,2025-12-12,0.0086,1039.0,9.581386,2252.0
90006679.SZ,2025-12-12,0.0029,146.0,0.428558,1041.0
90006680.SZ,2025-12-12,0.0088,87.0,0.768684,549.0
90006681.SZ,2025-12-12,0.0153,594.0,10.805432,2169.0
90006682.SZ,2025-12-12,0.0281,844.0,27.096326,2041.0
90006683.SZ,2025-12-12,0.0513,174.0,10.31423,800.0
90006684.SZ,2025-12-12,0.0882,396.0,37.609656,1187.0
